Number,Date,Team.Stats.for,Match.x,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,PensConceded,Free.Kicks,Scrum.Pens,LO.Pens,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away,Match.y,Total.Penalty.Conceded,Lineout.Penalty,Scrum.Penalty
14,02/01/2021,Munster,Ulster v Munster,1,1,1,0,1,0,80,138,7,1,105,156,22,13,20,1,9,14,0,7,2,69,4,10,2,3,0,7,0,0,1,0,Regular,S20,10,15,-5,L,A,Ulster vs Munster,8,0,1
15,02/01/2021,Ulster,Ulster v Munster,2,1,1,0,1,0,122,348,22,6,163,115,7,15,21,4,6,13,0,7,0,100,6,13,0,3,0,7,1,2,1,0,Regular,S20,15,10,5,W,H,Ulster vs Munster,13,0,3
16,02/01/2021,Zebre,Benetton v Zebre,2,4,1,0,1,0,77,261,13,2,81,162,13,8,30,1,6,9,1,4,0,56,4,12,1,1,3,6,1,1,1,0,Regular,S20,24,15,9,W,A,Benetton vs Zebre,11,2,1
17,02/10/2020,Benetton,Ulster v Benetton,3,1,3,0,0,0,152,550,27,13,214,143,22,18,14,15,4,11,1,3,1,117,4,9,0,1,1,3,2,2,0,0,Regular,S20,24,35,-11,L,A,Ulster vs Benetton,9,1,1
18,02/10/2020,Cardiff,Zebre v Cardiff Blues,1,3,1,0,3,0,88,279,11,1,97,162,13,9,31,5,13,10,1,4,0,70,4,12,1,2,0,6,1,2,0,1,Regular,S20,16,6,10,W,A,Zebre vs Cardiff,11,0,1
19,02/10/2020,Dragons,Leinster v Dragons,1,0,0,0,1,0,117,250,18,7,187,171,29,7,23,5,8,9,5,8,1,101,4,8,1,2,0,4,2,0,1,0,Regular,S20,5,35,-30,L,A,Leinster vs Dragons,7,0,1
20,02/10/2020,Leinster,Leinster v Dragons,5,0,5,0,0,0,151,635,29,13,230,126,18,13,20,16,5,14,3,1,0,115,5,12,2,2,0,8,2,0,1,0,Regular,S20,35,5,30,W,H,Leinster vs Dragons,10,0,1
21,02/10/2020,Ulster,Ulster v Benetton,5,0,5,0,0,0,114,386,22,14,156,196,27,5,24,13,7,17,3,5,0,88,3,9,0,0,0,5,2,2,1,0,Regular,S20,35,24,11,W,H,Ulster vs Benetton,9,0,0
22,02/10/2020,Zebre,Zebre v Cardiff Blues,0,2,0,0,1,0,157,344,13,12,229,102,11,18,11,2,6,12,6,2,1,107,7,10,1,3,0,4,2,1,1,0,Regular,S20,6,16,-10,L,H,Zebre vs Cardiff,9,0,2
23,02/11/2020,Cardiff,Cardiff Blues v Ulster,1,0,1,0,1,0,89,186,9,7,135,168,12,16,32,3,7,12,0,1,0,69,1,15,1,4,1,7,3,0,1,0,Regular,S20,7,11,-4,L,H,Cardiff vs Ulster,14,1,3
