Team,Match_ID,Outcome,Carries,Metres_Made,Defenders_Beaten,Offloads,Passes,Tackles,Clean_Breaks,Turnovers_Won,Rucks_Won,Lineout_Throws_Won,Season,Match_Location
Leinster Rugby,268194,win,155,584,23,11,228,83,9,7,4,17,21/22,away
Emirates Lions,268195,loss,70,125,7,4,102,85,0,6,5,17,21/22,home
Vodacom Bulls,268195,win,93,335,15,13,86,79,3,6,6,16,21/22,away
Leinster Rugby,268197,win,121,532,35,11,127,106,10,6,4,12,21/22,away
Connacht Rugby,268197,loss,90,241,7,7,135,138,2,5,3,9,21/22,home
Benetton Rugby,268198,loss,96,270,9,6,143,113,1,7,13,10,21/22,away
Munster Rugby,268198,win,88,305,14,8,99,115,4,8,4,7,21/22,home
Cardiff Rugby,268199,win,109,338,14,13,126,132,5,9,2,6,21/22,home
Glasgow Warriors,268199,loss,111,421,18,4,164,134,2,7,6,8,21/22,away
Dragons RFC,268200,loss,91,345,11,9,132,118,5,4,8,14,21/22,away
Vodacom Bulls,268200,win,106,463,18,12,124,87,4,6,3,16,21/22,home
Ospreys,268201,loss,97,304,13,6,145,147,5,8,7,6,21/22,away
Emirates Lions,268201,win,128,623,28,22,174,113,9,5,5,9,21/22,home
Edinburgh Rugby,268202,win,55,178,12,2,37,138,2,5,3,11,21/22,away
Hollywoodbets Sharks,268202,loss,86,169,7,3,92,62,0,7,0,9,21/22,home
Ulster Rugby,268203,loss,116,393,15,6,154,57,4,4,8,13,21/22,away
DHL Stormers,268203,win,56,190,7,6,86,125,2,9,6,12,21/22,home
Zebre Parma,268204,loss,146,482,30,24,181,72,9,7,3,17,21/22,home
Scarlets,268204,win,97,431,14,21,120,136,7,8,5,13,21/22,away
Leinster Rugby,268205,win,94,319,28,3,131,206,7,5,1,12,21/22,home
Munster Rugby,268205,loss,179,384,22,21,238,103,2,6,5,12,21/22,away
Cardiff Rugby,268206,loss,131,388,13,19,158,84,1,4,3,7,21/22,away
Scarlets,268206,win,83,267,18,9,93,143,5,4,2,9,21/22,home
Ulster Rugby,268207,loss,119,294,26,4,175,95,1,7,6,17,21/22,away
Vodacom Bulls,268207,win,82,413,11,10,85,166,4,7,4,9,21/22,home
Emirates Lions,268208,win,87,244,9,10,98,105,4,8,3,9,21/22,home
Edinburgh Rugby,268208,loss,100,418,14,11,135,93,2,3,9,15,21/22,away
Dragons RFC,268209,loss,87,139,9,12,116,130,2,8,4,11,21/22,away
Hollywoodbets Sharks,268209,win,120,449,16,6,145,86,8,6,5,14,21/22,home
Ospreys,268210,loss,76,265,8,13,132,85,7,7,6,10,21/22,away
DHL Stormers,268210,win,97,493,28,24,114,84,10,9,6,8,21/22,home
Zebre Parma,268211,loss,110,335,12,8,147,117,1,5,7,11,21/22,away
Glasgow Warriors,268211,win,96,228,13,6,155,141,1,13,3,16,21/22,home
