season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
21/22,Cardiff Rugby,home,loss,0,19,-10,119,332,7,2,12,163,11,6,22,745,7,5,3,9,115,22,14,1,1,4,1,1,0,1,25,-23,-15,-2,4,66,-3,-2,-2,-108,3,-4,3,-5,-8,15,-2,-2,0,1,-1,-1,0,1
21/22,Vodacom Bulls,away,win,1,29,10,94,355,22,4,8,97,14,8,24,853,4,9,0,14,123,7,16,3,1,3,2,2,0,0,-25,23,15,2,-4,-66,3,2,2,108,-3,4,-3,5,8,-15,2,2,0,-1,1,1,0,-1
21/22,Munster Rugby,away,win,1,43,30,109,411,20,7,8,98,13,7,29,918,7,4,0,12,89,9,17,3,1,3,2,7,0,0,10,180,11,4,-5,-61,-1,3,15,161,3,-5,-3,-5,-35,-11,9,0,0,2,2,6,0,0
21/22,Scarlets,home,loss,0,13,-30,99,231,9,3,13,159,14,4,14,757,4,9,3,17,124,20,8,3,1,1,0,1,0,0,-10,-180,-11,-4,5,61,1,-3,-15,-161,-3,5,3,5,35,11,-9,0,0,-2,-2,-6,0,0
21/22,Emirates Lions,away,loss,0,10,-16,125,375,17,5,7,146,21,12,30,818,3,4,2,11,199,32,8,0,0,3,0,3,0,0,-53,-79,-15,-2,-8,-99,5,6,3,-83,-3,-5,2,-8,50,15,0,-1,0,3,-1,2,0,0
21/22,Ulster Rugby,home,win,1,26,16,178,454,32,7,15,245,16,6,27,901,6,9,0,19,149,17,8,1,0,0,1,1,0,0,53,79,15,2,8,99,-5,-6,-3,83,3,5,-2,8,-50,-15,0,1,0,-3,1,-2,0,0
21/22,Dragons RFC,home,loss,0,10,-14,108,288,12,4,9,138,10,2,38,937,9,2,1,9,148,18,13,4,0,3,1,4,0,0,-10,-11,-6,2,-1,29,-7,-3,-4,-168,3,-1,1,0,26,6,8,2,0,2,0,0,0,-1
21/22,DHL Stormers,away,win,1,24,14,118,299,18,2,10,109,17,5,42,1105,6,3,0,9,122,12,5,2,0,1,1,4,0,1,10,11,6,-2,1,-29,7,3,4,168,-3,1,-1,0,-26,-6,-8,-2,0,-2,0,0,0,1
21/22,Zebre Parma,home,loss,0,6,-11,81,285,16,2,17,127,14,6,19,811,4,9,3,13,144,21,14,0,1,3,1,6,0,0,-40,-52,-5,-2,9,-4,7,0,0,65,-3,0,0,3,53,5,-1,-2,1,-1,1,3,0,0
21/22,Glasgow Warriors,away,win,1,17,11,121,337,21,4,8,131,7,6,19,746,7,9,3,10,91,16,15,2,0,4,0,3,0,0,40,52,5,2,-9,4,-7,0,0,-65,3,0,0,-3,-53,-5,1,2,-1,1,-1,-3,0,0
